desc,solutions
"I am the black child of a white father; a wingless bird, flying even to the clouds of heaven. I give birth to tears of mourning in pupils that meet me, and at once on my birth I am dissolved into air.","Smoke"
"When I live, I cry. If you don't kill me, I'll die.","A candle"
"I never was, and yet will always be. I am never seen, and yet always come. I carry nothing, yet hold much for some. Tell me, what am I?","Tomorrow"
"I grow as I eat, but die when I drink, what am I?","A fire"
"A slave I've been and shall remain. To a cruel mistress I'm tied with invisible chains. Yet I always put on the same brave face. She keeps me her prisoner, but leaves me some space. What am I?","The moon"
"what is not living, cannot die, But saying I'm invinicble would be a lie. My death comes through hunger, cold and suffocation and gives birth to new creation.  ","Fire, Flames"
"In my arms I keep the dead, my presence keeps families fed. I am the base of mortal life. I am the scene of all their strife.","Earth, planet earth, the ground"
"Whoever makes me, tells it not. Whoever takes me, knows it not. Whoever knows me, wants me not. Tell me, what am I?","Counterfeit money, forgeries, etc"
"It cannot be seen, it cannot be felt, Cannot be heard, cannot be smelt, Lies behind stars and under hills, And empty holes it fills. Comes first follows after, Ends life kills laughter","Darkness"
"Silent as a beast of prey, I come upon those that I slay. Driven back for half the year, in the other I bring fear","winter, Cold, frost"
"I am the beginning of the end, the end of every place. I am the beginning of eternity, the end of space and time. What am I?","The letter E"
"I always show one to six. I always show fifteen to twenty. I always show five. But I never show twenty one, unless I'm flying. What am I?","A d6"
"Always present, ever-sought. Always hunted, never caught. People wept for what I brought. But sometimes with me a crown is wrought.","the Future/ Knowledge of the Future"
"What's dead half the year, and lives the rest. What dances without music, and breathes without breath?","Trees, forest, flowers, etc"
"A clock, a tree, a road, a sea. Everything is part of me, claiming the contrary would be a lie. tell me please, what am I?","the Planes "
"If I have a bee in my hand, then what is in my eye?","Beauty"
"A decent fellow when I've come from the earth, Only talented people can match my worth, The best friend of sceptics and scholars alike, I worsen each wound after every strike","Salt"
"I've measured it from side to side, 'Tis three feet long and two feet wide. It is of compass small, and bare To thirsty suns and parching air.","A well"
"This creature, part man and part tree, hates the termite as much as the flea. His tracks do not match, and his limbs may detach, but he's not a strange creature to see. What is he?","A man with a wooden leg"
"I have a tail, and I have a head, but i have no body. I am NOT a snake. What am I?","a coin"
"As I was going to St. Ives, I met a man with seven wives; Every wife had seven sacks, Every sack had seven cats, Every cat had seven kits: Kits, cats, sacks, and wives, How many were there going to St. Ives?","One"
"I am hoarded by royalty, Kings rarely break me, peasants rarely find me, I am of covetous worth, yet can be shared by all","Truth"
"She is too loud so in my rage, I made for her a wooden cage.  It can't contain her, that I see.  But now she moves more quietly.  What are we?","A river and a beaver"
"I am used by the loud as a warning and by the silent as skin.","Bark"
"Fill me, that I may tell you what is lost.","Ledger"
"Alive without breath, as cold as death, never thirsty, always drinking, all in mail, never clinking","Fish"
"Many have heard me, but no one has seen me, and I will not speak back until spoken to.","echo"
"A box without hinges, key or lid, yet golden treasure inside is hid","Egg"
"When you have it, you want to share it, when you share it, you lose it","secret"
"I have no legs to walk, but my steps you still stalk, Over mountains and rivers I give the guidance you seek, though it is unspoken as I cannot speak. I have no mouth to say words, yet understand me you try, you stare until you reach your goal, then understand me you comply.","a Map"
"Deep, deep, deeper I go, enter the darkness and you shall know, let the light fade, and my depths will bestow, what iv'e been hiding deep deep deep below. ","Proceed in darkness with no lights"
"Ready to fight and ready to die, Bound to the earth, yet our mother could fly. A nation is built on her broken wings, Ruled by queens, but never by kings. ","Ants"
"Two Bodies In One. The longer I stand, the quicker I run. What am I?","An Hourglass"
"Forged and cut, yet blood is naught, take me, set me, open what you sought, what am I?","a Key"
"When is a door not a door?","When it is ajar"
"What has four wheels and flies?","The Town Garbage Wagon"
"This is as light as a feather, yet no man can hold it for long.","One's breath"
"I pass before the sun, yet I make no shadow. What am I?","The Wind"
"Tucked within a bone of feather, I'll help your words outlast forever. But as you push us as we stand, the more we move, the less I am.","Ink"
"How many letters are in the answer to this question?","Four"
"What herb cures all ailments?","Thyme"
"I am made of dust and water and rest upon the earth, in the image of you, my maker, though in gown of white at birth, awake in cold, no substance, soul, nor mind, formed by mortal hands and yet I am divine. Arms stretched wide without embrace I wait until my end, silent and unmoving 'til I'm buried or returned to ground again. ","Snow Angel"
"A venerable relative, whose hands do not hold and whose face cannot see, but can always tell you when you need to be.","a (grandfather) clock"
"What means everything to you, and yet nothing to me?","Your Life"
"What word, built of six, becomes its opposite when it is reversed?","United"
